ta_context,ta_question,ta_answer_text,en_context,en_question,en_answer_text,answer_start
1502 ஆம் ஆண்டில் போர்த்துக்கேயரால் கண்டுபிடிக்கப்பட்டபோது இந்த தீவு குடியேற்றமற்றதாக இருந்தது. உலகின் மிகவும் தொலைதூர தீவுகளில் ஒன்றான இது நூற்றாண்டுகளாக ஆசியா மற்றும் தென்னாப்பிரிக்காவிலிருந்து ஐரோப்பாவுக்குப் பயணிக்கும் கப்பல்களுக்கு ஒரு முக்கிய தங்குமிடமாக இருந்தது.,அந்தத் தீவு எப்போது கண்டுபிடிக்கப்பட்டது?,1502,"The island was uninhabited when discovered by the Portuguese in 1502. One of the most remote islands in the world, it was for centuries an important stopover for ships sailing to Europe from Asia and South Africa. Napoleon was imprisoned there in exile by the British, as were Dinuzulu kaCetshwayo (for leading a Zulu army against British rule) and more than 5,000 Boers taken prisoner during the Second Boer War.",When was the island discovered?,1502,0
நியூயார்க் நகரம் 1624 ஆம் ஆண்டில் டச்சு குடியரசின் காலனிகளால் ஒரு வர்த்தக அஞ்சலாக நிறுவப்பட்டது மற்றும் 1626 ஆம் ஆண்டில் நியூ ஆம்ஸ்டர்டாம் என்று பெயரிடப்பட்டது. நகரமும் அதன் சுற்றுப்புறங்களும் 1664 ஆம் ஆண்டில் ஆங்கிலேயரின் கட்டுப்பாட்டின் கீழ் வந்தன. நியூயார்க் 1785 முதல் 1790 வரை அமெரிக்காவின் தலைநகராக செயல்பட்டது. இது 1790 முதல் நாட்டின் மிகப்பெரிய நகரமாக இருந்து வருகிறது. 19 ஆம் நூற்றாண்டின் பிற்பகுதியிலும் 20 ஆம் நூற்றாண்டின் தொடக்கத்திலும் மில்லியன் கணக்கான புலம்பெயர்ந்தோரை சுதந்திர சிலை வரவேற்றது மற்றும் அமெரிக்கா மற்றும் அதன் ஜனநாயகத்தின் உலகளாவிய அடையாளமாக உள்ளது.,நியூ யார்க் நகரத்திற்கு முன் இருந்த வர்த்தக நிலையம் என்ன என்று அழைக்கப்பட்டது?,நியூ ஆம்ஸ்டர்டாம்,New York City traces its roots to its 1624 founding as a trading post by colonists of the Dutch Republic and was named New Amsterdam in 1626. The city and its surroundings came under English control in 1664. New York served as the capital of the United States from 1785 until 1790. It has been the country's largest city since 1790. The Statue of Liberty greeted millions of immigrants as they came to the Americas by ship in the late 19th and early 20th centuries and is a globally recognized symbol of the United States and its democracy.,What was the trading post that preceded New York City called?,New Amsterdam,121
ஆங்கிலேயர் சர் பிரான்சிஸ் டிரேக் (1577-1580) தனது உலகச் சுற்றுப்பயணத்தின் இறுதி கட்டத்தில் தீவை அமைத்திருக்கலாம்.,தங்களுடைய சுற்றுப்பயணத்தின் கடைசி கட்டத்தில் அந்தத் தீவை யார் ஒருவேளை கண்டுபிடித்திருக்கலாம்?,ஆங்கிலேயர் சர் பிரான்சிஸ் டிரேக்,"Englishman Sir Francis Drake probably located the island on the final leg of his circumnavigation of the world (1577–1580). Further visits by other English explorers followed, and, once Saint Helena’s location was more widely known, English ships of war began to lie in wait in the area to attack Portuguese India carracks on their way home. In developing their Far East trade, the Dutch also began to frequent the island. The Portuguese and Spanish soon gave up regularly calling at the island, partly because they used ports along the West African coast, but also because of attacks on their shipping, the desecration of their chapel and religious icons, destruction of their livestock and destruction of plantations by Dutch and English sailors.",Who probably located the island on their final leg of their circumnavigation trip?,Englishman Sir Francis Drake,0
"ஒரு ஐரோப்பியரால் ஆவணப்படுத்தப்பட்ட முதல் வருகை 1524 இல் பிரெஞ்சு மகுடாதிபதியின் சேவையில் ஒரு புளோரென்டைன் ஆய்வாளரான ஜியோவானி டா வெர்ராசானோ என்பவரால் செய்யப்பட்டது, அவர் தனது கப்பலான லா டாஃபைனை நியூயார்க் துறைமுகத்திற்குக் கப்பல் மூலம் கொண்டு சென்றார். அவர் பிரான்சின் பகுதிக்கு உரிமை கோரினார் மற்றும் அதற்கு ""நொவல்லே அங்கோலெஸ்மே"" (புதிய அங்கோலெஸ்மே) என்று பெயரிட்டார்.",முதல் ஐரோப்பியர் நியூ யார்க் பகுதிக்கு எந்த வருடத்தில் வந்தார்?,1524,"The first documented visit by a European was in 1524 by Giovanni da Verrazzano, a Florentine explorer in the service of the French crown, who sailed his ship La Dauphine into New York Harbor. He claimed the area for France and named it ""Nouvelle Angoulême"" (New Angoulême).",In what year did the first European arrive in the New York area?,1524,47
போர்த்துகீசிய பேரரசர் சார்ல்ஸ் V க்கு பயணம் செய்த எஸ்டாய்வாஸ்வர் ஓ கோம்ஸ் (Estévésévésévésévérén o Gomes) என்பவர் தலைமையிலான ஸ்பெயின் நாட்டு கடற்பயணம் ஒன்று 1525 ஆம் ஆண்டு ஜனவரியில் நியூயோர்க் துறைமுகத்தை வந்தடைந்து ஹட்சன் ஆற்றின் முகத்துவாரத்தை ரியோ டி சான் அன்டோனியோ என்று பெயரிட்டார்.,ஸ்பானிய கப்பற்பயணம் எந்த ஆண்டில் நியூ யார்க் துறைமுகத்திற்குச் சென்றது?,1525,"A Spanish expedition led by captain Estêvão Gomes, a Portuguese sailing for Emperor Charles V, arrived in New York Harbor in January 1525 aboard the purpose-built caravel ""La Anunciada"" and charted the mouth of the Hudson River, which he named Rio de San Antonio. Heavy ice kept him from further exploration, and he returned to Spain in August. The first scientific map to show the North American East coast continuously, the 1527 world map known as the Padrón Real, was informed by Gomes' expedition, and labeled the Northeast as Tierra de Esteban Gómez in his honor.",In what year did a Spanish expedition visit New York Harbor?,1525,157
1609 ஆம் ஆண்டில் ஆங்கிலேய ஆய்வாளர் ஹென்றி ஹட்சன் (Henry Hudson) என்பவர் தனது கப்பலான ஹால்வ் மேன் (Halve Maen) (டச்சு மொழியில் அரை நிலவு) யை நியூயார்க் துறைமுகத்துக்குள் தனது முதலாளியான டச்சு கிழக்கிந்திய கம்பெனிக்கு வடமேற்குப் பாதையைத் தேடும் போது மீண்டும் கண்டுபிடித்தார்.,1609-ல் அந்தப் பகுதிக்கு விஜயம் செய்த ஆய்வுப்பயணியின் பெயர் என்ன?,ஹென்றி ஹட்சன்,"In 1609, English explorer Henry Hudson re-discovered the region when he sailed his ship the Halve Maen (""Half Moon"" in Dutch) into New York Harbor while searching for the Northwest Passage to the Orient for his employer, the Dutch East India Company. He proceeded to sail up what he named the North River, also called the Mauritis River, and now known as the Hudson River, to the site of the present-day New York State capital of Albany in the belief that it might represent an oceanic tributary. When the river narrowed and was no longer saline, he realized it was not a maritime passage and sailed back downriver. He made a ten-day exploration of the area and claimed the region for his employer. In 1614, the area between Cape Cod and Delaware Bay would be claimed by the Netherlands and called Nieuw-Nederland (New Netherland).",What was the name of the explorer who visited the area in 1609?,Henry Hudson,35
"நியூயார்க் நகரமாக மாறும் முதல் பூர்வீக அமெரிக்கரல்லாத குடியிருப்பாளர் டொமினிக்கன் வர்த்தகர் ஜுவான் ரோட்ரிகஸ் (டச்சுக்கு ஜான் ரோட்ரிகஸ் என்று எழுதப்பட்டிருந்தது) ஆவார். போர்த்துகீசிய மற்றும் ஆப்பிரிக்க வம்சாவளியைச் சேர்ந்த சான்டோ டொமிங்கோவில் பிறந்த இவர் 1613-1614 குளிர்காலத்தில் மன்ஹாட்டனுக்கு வந்தார், டச்சுக்காரர்களின் பிரதிநிதியாக உள்ளூர் மக்களுடன் வர்த்தகம் செய்வதற்காக மாட்டிக்கொண்டு வந்தார். பிராட்வே, 159 வது தெருவில் இருந்து 218 வது தெருவரை, ஜுவான் ரோட்ரிகஸ் வே என்று பெயரிடப்பட்டது.",ஜுவான் ரோட்ரிகஸ் எங்கே பிறந்தார்?,சான்டோ டொமிங்கோ,"The first non-Native American inhabitant of what would eventually become New York City was Dominican trader Juan Rodriguez (transliterated to Dutch as Jan Rodrigues). Born in Santo Domingo of Portuguese and African descent, he arrived in Manhattan during the winter of 1613–1614, trapping for pelts and trading with the local population as a representative of the Dutch. Broadway, from 159th Street to 218th Street, is named Juan Rodriguez Way in his honor.",Where was Juan Rodriguez born?,Santo Domingo,222
"18ம் நூற்றாண்டின் ஆளுநர்கள் தீவின் பிரச்சினைகளை தீர்க்க மரம் நடுதல், அரண்களை மேம்படுத்துதல், ஊழலை ஒழித்தல், ஒரு மருத்துவமனையை கட்டியெழுப்புதல், பயிர்கள் மற்றும் கால்நடைகளை அலட்சியம் செய்தல், மதுபானத்தை நுகர்வதை கட்டுப்படுத்துதல் மற்றும் சட்ட சீர்திருத்தங்களை அறிமுகப்படுத்துதல் ஆகியவற்றின் மூலம் முயன்றனர். 1770 முதல் தீவு நீண்ட கால செழிப்பை அனுபவித்தது. கேப்டன் ஜேம்ஸ் குக் தனது இரண்டாவது சுற்றுப்பயணத்தின் இறுதி கட்டத்தில் 1775 ஆம் ஆண்டில் தீவுக்கு வருகை தந்தார். புனித ஜேம்ஸ் தேவாலயம் 1774 ஆம் ஆண்டில் ஜேம்ஸ்டவுனில் கட்டப்பட்டது மற்றும் 1791-92 ஆம் ஆண்டில் தோட்ட இல்லம் கட்டப்பட்டது.",அந்தத் தீவு எப்போது செழிக்க ஆரம்பித்தது?,1770,"18th century governors tried to tackle the island's problems by implementing tree plantation, improving fortifications, eliminating corruption, building a hospital, tackling the neglect of crops and livestock, controlling the consumption of alcohol and introducing legal reforms. From about 1770, the island enjoyed a lengthy period of prosperity. Captain James Cook visited the island in 1775 on the final leg of his second circumnavigation of the world. St. James' Church was erected in Jamestown in 1774 and in 1791–92 Plantation House was built, and has since been the official residence of the Governor.",When did the Island start to experience a period of prosperity?,1770,307
"ஆக்ஸ்ஃபோர்டு பல்கலைக்கழகத்திலிருந்து 1676 ஆம் ஆண்டில் எட்மண்ட் ஹேலி புனித ஹெலெனாவுக்கு வருகை தந்து தெற்கு அரைக்கோளத்தில் உள்ள விண்மீன்களை ஆய்வு செய்யும் நோக்கில் 7.3 மீட்டர் (24 அடி) வான்வெளி தொலைநோக்கியைக் கொண்ட வானியல் ஆய்வகத்தை நிறுவினார். இந்த தொலைநோக்கியை லாங்வுட் மாவட்டத்தில் உள்ள ஹட்ஸ் வாயிலில் உள்ள செயின்ட் மேத்யூ தேவாலயத்திற்கு அருகில் அமைத்தார். அங்கு 680 மீட்டர் (2,230 அடி) உயரமுள்ள மலைக்கு இவரது பெயரிடப்பட்டு ஹாலிஸ் மவுண்ட் என்று அழைக்கப்படுகிறது.","""புனிதர்"" ஹெலெனாவில் வானியல் ஆய்வுக்கூடத்தை நிறுவியவர் யார்?",எட்மண்ட் ஹேலி,"On leaving the University of Oxford, in 1676, Edmond Halley visited Saint Helena and set up an astronomical observatory with a 7.3-metre-long (24 ft) aerial telescope with the intention of studying stars from the Southern Hemisphere. The site of this telescope is near Saint Mathew's Church in Hutt's Gate, in the Longwood district. The 680-metre (2,230 ft) high hill there is named for him and is called Halley's Mount.",Who set up an astronomical observatory on Saint Helena?,Edmond Halley,54
1815 ஆம் ஆண்டில் பிரிட்டிஷ் அரசாங்கம் செயின்ட் ஹெலெனாவை நெப்போலியன் போனபார்ட் காவலில் வைப்பதற்கான இடமாக தேர்ந்தெடுத்தது. அவர் 1815 ஆம் ஆண்டு அக்டோபரில் தீவுக்கு அழைத்துச் செல்லப்பட்டார். நெப்போலியன் தனது நிரந்தர குடியிருப்பான லாங்க்வுட் இல்லம் டிசம்பர் 1815 இல் கட்டி முடிக்கப்படும் வரை பால்கொம்பே குடும்பத்தின் வீட்டின் மைதானத்தில் உள்ள பிரையர்ஸ் அரங்கத்தில் தங்கினார். நெப்போலியன் அங்கு 1821 ஆம் ஆண்டு மே 5 ஆம் தேதி இறந்தார்.,Saint Helena-வில் யாரை பிரிட்டிஷ் அரசாங்கம் கைது செய்தது?,நெப்போலியன் போனபார்ட்,"In 1815, the British government selected Saint Helena as the place of detention of Napoleon Bonaparte. He was taken to the island in October 1815. Napoleon stayed at the Briars pavilion on the grounds of the Balcombe family's home until his permanent residence, Longwood House, was completed in December 1815. Napoleon died there on 5 May 1821.",The British government detained who in Saint Helena?,Napoleon Bonaparte,56
"தீவில் நாடு கடத்தப்பட்ட காலத்தில் நெப்போலியன் புனித ஹெலெனாவின் காபியை புகழ்ந்ததால், அவரது மரணத்திற்கு பிந்தைய ஆண்டுகளில் இந்த தயாரிப்பு பாரிசில் ஒரு குறுகிய புகழ் பெற்றது.","""புனித ஹெலெனாவின்"" எந்தப் பொருளை நெப்போலியன் புகழ்ந்தான்?",காபி,"Owing to Napoleon's praise of Saint Helena’s coffee during his exile on the island, the product enjoyed a brief popularity in Paris in the years after his death.",Which product of Saint Helena was praised by Napoleon?,coffee,63
"1700 களின் தொடக்கத்தில் பிரிட்டிஷ் ஆட்சியின் கீழ் நியூயோர்க் ஒரு வர்த்தக துறைமுகமாக வளர்ந்தது. 1730 வாக்கில் 42% குடும்பங்கள் அடிமைகளை வைத்திருந்தனர், இது தெற்கு கரோலினாவின் சார்ல்ஸ்டன் தவிர வேறு எந்த நகரத்தையும் விட அதிகமாகும். பெரும்பாலான அடிமை உரிமையாளர்கள் சில அல்லது பல உள்நாட்டு அடிமைகளை வைத்திருந்தனர், ஆனால் மற்றவர்கள் அவர்களை உழைப்பதற்காக வேலைக்கு அமர்த்தினர். துறைமுகம் முழுவதும் அடிமைகளின் உழைப்பின் மூலம் அடிமைத்தனம் நியூயோர்க்கின் பொருளாதாரத்துடன் ஒருங்கிணைந்து பிணைந்தது, மற்றும் வங்கிகள் மற்றும் தெற்கே கப்பல் கட்டுமானத்தின் போது 1990களில் ஆப்பிரிக்க புதைக்கும் மைதானத்தை கண்டுபிடித்தது, காலனித்துவ ஆண்டுகளில் பல்லாயிரக்கணக்கான ஆப்பிரிக்கர்கள் அந்தப் பகுதியில் புதைக்கப்பட்டிருந்ததை வெளிப்படுத்தியது.","1730 இல், நியூயார்க் வீடுகளில் எந்த சதவிகிதம் அடிமைத்தனத்தில் இருந்தது?",42%,"New York grew in importance as a trading port while under British rule in the early 1700s. It also became a center of slavery, with 42% of households holding slaves by 1730, more than any other city other than Charleston, South Carolina. Most slaveholders held a few or several domestic slaves, but others hired them out to work at labor. Slavery became integrally tied to New York's economy through the labor of slaves throughout the port, and the banks and shipping tied to the South. Discovery of the African Burying Ground in the 1990s, during construction of a new federal courthouse near Foley Square, revealed that tens of thousands of Africans had been buried in the area in the colonial years.","In 1730, what percentage of New York households were slave-holding?",42%,109
thumb | left | 200px | 200px | மன்ஹாட்டனில் 1735 ஆம் ஆண்டு நடைபெற்ற ஜான் பீட்டர் ஜெங்கரின் விசாரணை வட அமெரிக்காவில் பத்திரிகை சுதந்திரத்தை நிறுவ உதவியது. 1754 ஆம் ஆண்டு இரண்டாம் ஜார்ஜ் மன்ஹாட்டனில் கிங் கல்லூரி என்ற பட்டயத்தின் கீழ் கொலம்பியா பல்கலைக்கழகம் நிறுவப்பட்டது. 1765 ஆம் ஆண்டு அக்டோபரில் நியூயார்க்கில் நடந்த முத்திரைத்தாள் சட்டமன்ற கூட்டம் நகரத்தில் நடந்த சுதந்திர போரால் அடுத்த பத்து ஆண்டுகளுக்கு பிரிட்டிஷ் துருப்புகளுடன் மோதலில் ஈடுபட்டது.,யோவான் பேதுரு ஸெங்கர் எந்த வருடத்தில் சோதிக்கப்பட்டார்?,1735,"The trial in Manhattan of John Peter Zenger in 1735 helped to establish the freedom of the press in North America. In 1754, Columbia University was founded under charter by King George II as King's College in Lower Manhattan. The Stamp Act Congress met in New York in October 1765 as the Sons of Liberty organized in the city, skirmishing over the next ten years with British troops stationed there.",In what year was John Peter Zenger tried?,1735,44
"1792-ல் செயின்ட் ஹெலெனாவிற்கு அடிமைகளை இறக்குமதி செய்வது தடைசெய்யப்பட்டிருந்த போதிலும், 1827 வரை 800-க்கும் மேற்பட்ட குடியிருக்கும் அடிமைகளின் படிப்படியான விடுதலை நடைபெறவில்லை, இது பிரிட்டிஷ் பாராளுமன்றம் காலனிகளில் அடிமைத்தனத்தை தடை செய்வதற்கான சட்டத்தை இயற்றுவதற்கு இன்னும் ஆறு ஆண்டுகளுக்கு முன்பு இருந்தது.",எப்பொழுது செயின்ட் ஹெலெனாவில் அடிமைகளை இறக்குமதி செய்வது தடைசெய்யப்பட்டது?,1792,"Although the importation of slaves to St Helena had been banned in 1792, the phased emancipation of over 800 resident slaves did not take place until 1827, which was still some six years before the British Parliament passed legislation to ban slavery in the colonies.",When was importation of slaves banned in Saint Helena?,1792,0
"போருக்கு அமைதியான தீர்வு காண்பதற்கான ஒரே முயற்சி செப்டம்பர் 11,1776 அன்று பெஞ்சமின் ஃப்ராங்க்லின் உட்பட அமெரிக்க பிரதிநிதிகளுக்கும் பிரிட்டிஷ் ஜெனரல் லார்ட் ஹோவிற்கும் இடையே ஸ்டேட்டன் தீவில் உள்ள மாநாட்டு மாளிகையில் நடைபெற்றது.",ஸ்டேட்டன் தீவில் எந்த தேதியில் சமாதான மாநாடு நடந்தது?,"செப்டம்பர் 11,1776","The only attempt at a peaceful solution to the war took place at the Conference House on Staten Island between American delegates, including Benjamin Franklin, and British general Lord Howe on September 11, 1776. Shortly after the British occupation began, the Great Fire of New York occurred, a large conflagration on the West Side of Lower Manhattan, which destroyed about a quarter of the buildings in the city, including Trinity Church.",On what date did the peace conference on Staten Island occur?,"September 11, 1776",49
"1858ல், பிரெஞ்சு பேரரசர் மூன்றாம் நெப்போலியன் வெற்றிகரமாக பிரெஞ்சு அரசாங்கத்தின் பெயரில், லாங்வுட் இல்லம் மற்றும் அதைச் சுற்றியுள்ள நிலங்கள், முதலாம் நெப்போலியனின் கடைசி குடியிருப்பு (1821ல் அங்கு இறந்தார்) ஆகியவற்றைக் கைப்பற்றினார்.",எந்த பிரெஞ்சு பேரரசன் லாங்வுட் வீட்டையும் அதைச் சுற்றியிருந்த நிலத்தையும் தன் வசம் வைத்திருந்தான்?,மூன்றாம் நெப்போலியன்,"In 1858, the French emperor Napoleon III successfully gained the possession, in the name of the French government, of Longwood House and the lands around it, last residence of Napoleon I (who died there in 1821). It is still French property, administered by a French representative and under the authority of the French Ministry of Foreign Affairs.",Which french emperor gained possession of Longwood house and the land surrounding it?,Napoleon III,25
"1799 ஆம் ஆண்டின் நியூயார்க் மாநிலத்தின் படிப்படியான ஒழிப்புச் சட்டத்தின் கீழ், அடிமை தாய்மார்களின் குழந்தைகள் இறுதியில் விடுவிக்கப்படுவதற்கு பிறந்தனர், ஆனால் அவர்கள் இருபதுகளின் நடுப்பகுதி வரை ஒப்பந்தப்படி அடிமைகளாக வைக்கப்பட்டனர். புரட்சிப் போருக்குப் பின்னர் தங்கள் எஜமானர்களால் விடுவிக்கப்பட்டு தப்பிய அடிமைகளுடன் சேர்ந்து, மன்ஹாட்டனில் கணிசமான அளவு சுதந்திரமான கறுப்பின மக்கள் உருவாகினர். அலெக்சாண்டர் ஹாமில்டன் மற்றும் ஜான் ஜே போன்ற செல்வாக்கு மிக்க அமெரிக்க நிறுவனர் கீழ், நியூயார்க் மனுமிஷன் சொசைட்டி கறுப்பின குழந்தைகளுக்கு கல்வியளிப்பதற்காக ஆப்பிரிக்க சுதந்திர பள்ளியை நிறுவியது. 1827 வரை மாநிலத்தில் அடிமைத்தனம் முற்றிலுமாக ஒழிக்கப்பட்டு, அதற்குப் பிறகு கறுப்பின மக்கள் பாகுபாகுபாட்டுடன் போராடினர். நியூயார்க் இடைஇன அடிமை நடவடிக்கை அதன் தலைவர்களிடையே தொடர்ந்தது, 1840ல் ஆப்பிரிக்க சுதந்திர பள்ளியின் பட்டதாரிகள் 16,000 பேர்",அடிமைகளை விடுவிப்பதற்கு நியூ யார்க் மாநிலம் எந்த ஆண்டில் ஒரு சட்டத்தை இயற்றியது?,1799,"Under New York State's gradual abolition act of 1799, children of slave mothers were born to be eventually liberated but were held in indentured servitude until their mid-to-late twenties. Together with slaves freed by their masters after the Revolutionary War and escaped slaves, a significant free-black population gradually developed in Manhattan. Under such influential United States founders as Alexander Hamilton and John Jay, the New York Manumission Society worked for abolition and established the African Free School to educate black children. It was not until 1827 that slavery was completely abolished in the state, and free blacks struggled afterward with discrimination. New York interracial abolitionist activism continued; among its leaders were graduates of the African Free School. The city's black population reached more than 16,000 in 1840.",In what year did the state of New York pass a law to free the slaves?,1799,0
"இந்த காலகட்டத்தில், 1951ல் விலை உச்சத்தில் இருந்த சணல் விற்பனையின் மூலம் தீவு கூடுதலான வருவாயை பெற்றது. இருப்பினும், போக்குவரத்து செலவுகள் மற்றும் செயற்கை இழைகளிலிருந்து போட்டியின் காரணமாக தொழில்துறை வீழ்ச்சியடைந்தது. பிரிட்டிஷ் அஞ்சல் அலுவலகம் அதன் அஞ்சல் பைகளில் செயற்கை இழைகளைப் பயன்படுத்த எடுத்த முடிவு மற்றொரு அடியாகும், இது 1965 ல் தீவின் சணல் ஆலைகள் மூடப்படுவதற்கு பங்களித்தது.",இந்தக் காலப்பகுதியில் அதிகரிக்கப்பட்ட வருவாய்க்கு அந்தத் தீவு எதை விற்றது?,சணல்,"During this period, the island enjoyed increased revenues through the sale of flax, with prices peaking in 1951. However, the industry declined because of transportation costs and competition from synthetic fibres. The decision by the British Post Office to use synthetic fibres for its mailbags was a further blow, contributing to the closure of the island's flax mills in 1965.",What did the Island sell for increased revenue during this period?,flax,50
"1958 ஆம் ஆண்டிலிருந்து, யூனியன் கோட்டை கப்பல் பாதை அதன் சேவை அழைப்புகளை படிப்படியாக தீவுக்கு குறைத்தது. அவன்மவுத்தை தளமாகக் கொண்ட கர்னோ கப்பல் பாதை, 1977 ஆம் ஆண்டில் RMS (ராயல் மெயில் கப்பல்) செயின்ட் ஹெலெனாவைப் பயன்படுத்தி யூனியன்-கோட்டை வரிசை அஞ்சல் சேவைக்கு மாற்றாக அமைந்தது.",எந்த வருடத்தில் யூனியன் காஸ்ட்ல் கப்பல் பாதை தீவுக்கான அவர்களுடைய சேவை அழைப்புகளைக் குறைக்க ஆரம்பித்தது?,1958,"From 1958, the Union Castle shipping line gradually reduced its service calls to the island. Curnow Shipping, based in Avonmouth, replaced the Union-Castle Line mailship service in 1977, using the RMS (Royal Mail Ship) St Helena.",What year did the Union Castle shipping line slowly start to reduce their service calls to the island?,1958,0
"1989 ஆம் ஆண்டில், இளவரசர் ஆண்ட்ரூ RMS St Helena ஐ தீவுக்கு சேவை செய்வதற்காக அறிமுகப்படுத்தினார்-இந்த கப்பல் கார்டிஃப்-கேப் டவுன் வழித்தடத்திற்காக பிரத்யேகமாக கட்டப்பட்டது மற்றும் ஒரு கலவையான சரக்கு/பயணிகள் அமைப்பைக் கொண்டுள்ளது.",ஆர். எம். எஸ். செயின்ட் ஹெலெனாவிற்கு மாற்றாக எந்த ஆண்டு தொடங்கப்பட்டது?,1989,"In 1989, Prince Andrew launched the replacement RMS St Helena to serve the island; the vessel was specially built for the Cardiff–Cape Town route and features a mixed cargo/passenger layout.",What year was the replacement for the RMS St Helena launched?,1989,0
"1898 ஆம் ஆண்டில் நவீன நியூயார்க் நகரம் புருக்லின் (அதுவரை ஒரு தனி நகரம்), நியூயார்க் கவுண்டி (அப்போது பிராங்க்ஸ் பகுதியை உள்ளடக்கியது), ரிச்மண்ட் கவுண்டி மற்றும் குயின்ஸ் கவுண்டியின் மேற்கு பகுதி ஆகியவற்றை ஒருங்கிணைத்து உருவாக்கப்பட்டது. 1904 ஆம் ஆண்டில் சுரங்கப்பாதை திறக்கப்பட்டது, முதலில் தனி தனியார் அமைப்புகளாக கட்டப்பட்டது, புதிய நகரத்தை ஒன்றிணைக்க உதவியது. 20 ஆம் நூற்றாண்டின் முதல் பாதியில், இந்த நகரம் தொழில், வணிகம் மற்றும் தொடர்புக்கான உலக மையமாக மாறியது.",நவீன நியூ யார்க் நகரம் எந்த ஆண்டில் நிறுவப்பட்டது?,1898,"In 1898, the modern City of New York was formed with the consolidation of Brooklyn (until then a separate city), the County of New York (which then included parts of the Bronx), the County of Richmond, and the western portion of the County of Queens. The opening of the subway in 1904, first built as separate private systems, helped bind the new city together. Throughout the first half of the 20th century, the city became a world center for industry, commerce, and communication.",In what year was the modern City of New York founded?,1898,0
"1904ல், ஜெனரல் ஸ்லோகம் என்ற நீராவி கப்பல் கிழக்கு ஆற்றில் தீப்பிடித்து 1,021 பேர் இறந்தனர். 1911ல், நகரத்தின் மிக மோசமான தொழிற்துறை பேரழிவான முக்கோண ஷர்ட்வைஸ்ட் தொழிற்சாலை தீ 146 ஆடைத் தொழிலாளர்களை கொன்று, சர்வதேச மகளிர் ""ஆடை தொழிலாளர்கள் சங்கத்தின்"" வளர்ச்சிக்கும் தொழிற்சாலை பாதுகாப்பு தரங்களில் பெரும் முன்னேற்றத்திற்கும் ஊக்கமளித்தது.",ஜெனரல் ஸ்லோகம் பேரழிவு எந்த வருடத்தில் ஏற்பட்டது?,1904,"In 1904, the steamship General Slocum caught fire in the East River, killing 1,021 people on board. In 1911, the Triangle Shirtwaist Factory fire, the city's worst industrial disaster, took the lives of 146 garment workers and spurred the growth of the International Ladies' Garment Workers' Union and major improvements in factory safety standards.",In what year did the General Slocum disaster occur?,1904,0
"செயின்ட் ஹெலெனாவின் தேசியப் பறவை செயின்ட் ஹெலெனா ப்ளோவர் ஆகும், இது உள்ளூரில் வயர்பேர்டு என்று அழைக்கப்படுகிறது.",புனித ஹெலெனாவின் தேசியப் பறவை எது?,செயின்ட் ஹெலெனா,"The national bird of Saint Helena is the Saint Helena plover, known locally as the wirebird. It appears on the coat of arms of Saint Helena and on the flag.",What is the national bird of Saint Helena?,the Saint Helena plover,0
"1970 களில் தொழிற்துறை மறுசீரமைப்பினால் ஏற்பட்ட வேலை இழப்புகளால் நியூயார்க் நகரம் பொருளாதார பிரச்சினைகளால் பாதிக்கப்பட்டது மற்றும் குற்றங்களின் எண்ணிக்கை அதிகரித்தது. 1980களில் நிதிய தொழில்துறையில் ஏற்பட்ட மறுமலர்ச்சி நகரத்தின் பொருளாதார ஆரோக்கியத்தை பெரிதும் மேம்படுத்தியபோதிலும், நியூயார்க்கின் குற்ற விகிதம் அந்த தசாப்தம் முழுவதிலும் மற்றும் 1990 களின் ஆரம்பம் வரை தொடர்ந்து அதிகரித்தது. 1990 களின் நடுப்பகுதியில், திருத்தியமைக்கப்பட்ட போலீஸ் உத்திகள், பொருளாதார வாய்ப்புகளை மேம்படுத்துதல், புத்துணர்ச்சி மற்றும் புதிய குடியிருப்பாளர்கள், அமெரிக்க ஊடுருவல் மற்றும் ஆசியா மற்றும் லத்தீன் அமெரிக்காவில் இருந்து குடியேறியவர்கள் ஆகிய இரண்டினாலும் குற்றங்களின் விகிதம் வியத்தகு முறையில் குறைய தொடங்கியது. சிலிகான் அல்லீ போன்ற முக்கிய புதிய துறைகள் நகரத்தின் பொருளாதாரத்தில் தோன்றின. நியூயார்க்கின் மக்கள் தொகை 2000 மக்கள் கணக்கெடுப்பிலும் மீண்டும் 2010 மக்கள் தொகை கணக்கெடுப்பிலும் என்றுமில்லாத உச்சத்தை அடைந்தது.",எந்த ஆண்டில் நியூயார்க்கின் மக்கள் தொகை இதுவரை இல்லாத அளவிற்கு உயர்ந்தது?,2000,"In the 1970s, job losses due to industrial restructuring caused New York City to suffer from economic problems and rising crime rates. While a resurgence in the financial industry greatly improved the city's economic health in the 1980s, New York's crime rate continued to increase through that decade and into the beginning of the 1990s. By the mid 1990s, crime rates started to drop dramatically due to revised police strategies, improving economic opportunities, gentrification, and new residents, both American transplants and new immigrants from Asia and Latin America. Important new sectors, such as Silicon Alley, emerged in the city's economy. New York's population reached all-time highs in the 2000 Census and then again in the 2010 Census.",In what year did the population of New York first reach an all-time high in this period?,2000,807
